    iyd    sec    alt   glat  glong      T    stl  f107a   f107     Ap            O           N2           O2
   2000   3600  100.0   40.0   40.0  184.0  14.25  125.6  125.6   56.0   0.5203E+12   0.8555E+13   0.2151E+13
   2000   7200  100.0   40.0   40.0  181.1  14.25  125.6  125.6   56.0   0.5245E+12   0.8372E+13   0.2109E+13
   2000  10800  100.0   40.0   40.0  179.0  14.25  125.6  125.6   39.0   0.5273E+12   0.8111E+13   0.2048E+13
   2000  14400  100.0   40.0   40.0  178.1  14.25  125.6  125.6   39.0   0.5238E+12   0.7823E+13   0.1982E+13
   2000  18000  100.0   40.0   40.0  178.2  14.25  125.6  125.6   39.0   0.5159E+12   0.7568E+13   0.1923E+13
   2000  21600  100.0   40.0   40.0  179.1  14.25  125.6  125.6   27.0   0.5066E+12   0.7393E+13   0.1879E+13
   2000  25200  100.0   40.0   40.0  180.5  14.25  125.6  125.6   27.0   0.4954E+12   0.7321E+13   0.1859E+13
   2000  28800  100.0   40.0   40.0  181.8  14.25  125.6  125.6   27.0   0.4859E+12   0.7357E+13   0.1864E+13
   2000  32400  100.0   40.0   40.0  182.7  14.25  125.6  125.6   18.0   0.4794E+12   0.7489E+13   0.1889E+13
   2000  36000  100.0   40.0   40.0  182.9  14.25  125.6  125.6   18.0   0.4744E+12   0.7680E+13   0.1930E+13
   2000  39600  100.0   40.0   40.0  182.3  14.25  125.6  125.6   18.0   0.4704E+12   0.7887E+13   0.1975E+13
   2000  43200  100.0   40.0   40.0  181.3  14.25  125.6  125.6   32.0   0.4663E+12   0.8060E+13   0.2016E+13
   2000  46800  100.0   40.0   40.0  180.3  14.25  125.6  125.6   32.0   0.4619E+12   0.8164E+13   0.2042E+13
   2000  50400  100.0   40.0   40.0  179.7  14.25  125.6  125.6   32.0   0.4581E+12   0.8184E+13   0.2050E+13
   2000  54000  100.0   40.0   40.0  179.9  14.25  125.6  125.6   15.0   0.4567E+12   0.8137E+13   0.2040E+13
   2000  57600  100.0   40.0   40.0  181.1  14.25  125.6  125.6   15.0   0.4589E+12   0.8052E+13   0.2026E+13
   2000  61200  100.0   40.0   40.0  183.3  14.25  125.6  125.6   15.0   0.4652E+12   0.7976E+13   0.2013E+13
   2000  64800  100.0   40.0   40.0  186.1  14.25  125.6  125.6   32.0   0.4728E+12   0.7943E+13   0.2010E+13
   2000  68400  100.0   40.0   40.0  188.9  14.25  125.6  125.6   32.0   0.4828E+12   0.7981E+13   0.2021E+13
   2000  72000  100.0   40.0   40.0  191.2  14.25  125.6  125.6   32.0   0.4921E+12   0.8091E+13   0.2046E+13
   2000  75600  100.0   40.0   40.0  192.2  14.25  125.6  125.6   22.0   0.5015E+12   0.8255E+13   0.2081E+13
   2000  79200  100.0   40.0   40.0  191.8  14.25  125.6  125.6   22.0   0.5081E+12   0.8432E+13   0.2120E+13
   2000  82800  100.0   40.0   40.0  190.0  14.25  125.6  125.6   22.0   0.5141E+12   0.8572E+13   0.2151E+13
   2000      0  100.0   40.0   40.0  187.1  14.25  125.7  128.5   15.0   0.5225E+12   0.8626E+13   0.2161E+13
   2000   3600  100.0   40.0   40.0  183.9  14.25  125.8  128.5   15.0   0.5282E+12   0.8560E+13   0.2146E+13
   2000   7200  100.0   40.0   40.0  181.0  14.25  125.9  128.5   15.0   0.5322E+12   0.8378E+13   0.2105E+13
   2000  10800  100.0   40.0   40.0  179.0  14.25  126.0  128.5   18.0   0.5319E+12   0.8114E+13   0.2046E+13
   2000  14400  100.0   40.0   40.0  178.0  14.25  126.1  128.5   18.0   0.5279E+12   0.7827E+13   0.1980E+13
   2000  18000  100.0   40.0   40.0  178.1  14.25  126.2  128.5   18.0   0.5196E+12   0.7573E+13   0.1921E+13
   2000  21600  100.0   40.0   40.0  179.0  14.25  126.3  128.5   18.0   0.5085E+12   0.7397E+13   0.1878E+13
   2000  25200  100.0   40.0   40.0  180.4  14.25  126.3  128.5   18.0   0.4970E+12   0.7324E+13   0.1858E+13
   2000  28800  100.0   40.0   40.0  181.8  14.25  126.4  128.5   18.0   0.4872E+12   0.7361E+13   0.1863E+13
   2000  32400  100.0   40.0   40.0  182.7  14.25  126.5  128.5   18.0   0.4801E+12   0.7491E+13   0.1889E+13
   2000  36000  100.0   40.0   40.0  182.9  14.25  126.5  128.5   18.0   0.4750E+12   0.7683E+13   0.1930E+13
   2000  39600  100.0   40.0   40.0  182.3  14.25  126.6  128.5   18.0   0.4711E+12   0.7890E+13   0.1975E+13
   2000  43200  100.0   40.0   40.0  181.2  14.25  126.6  128.5   12.0   0.4670E+12   0.8065E+13   0.2014E+13
   2000  46800  100.0   40.0   40.0  180.2  14.25  126.7  128.5   12.0   0.4626E+12   0.8170E+13   0.2039E+13
   2000  50400  100.0   40.0   40.0  179.6  14.25  126.7  128.5   12.0   0.4588E+12   0.8190E+13   0.2047E+13
   2000  54000  100.0   40.0   40.0  179.9  14.25  126.8  128.5   18.0   0.4574E+12   0.8139E+13   0.2041E+13
   2000  57600  100.0   40.0   40.0  181.1  14.25  126.8  128.5   18.0   0.4596E+12   0.8055E+13   0.2026E+13
   2000  61200  100.0   40.0   40.0  183.3  14.25  126.8  128.5   18.0   0.4657E+12   0.7979E+13   0.2013E+13
   2000  64800  100.0   40.0   40.0  186.0  14.25  126.9  128.5   18.0   0.4750E+12   0.7949E+13   0.2009E+13
   2000  68400  100.0   40.0   40.0  188.9  14.25  126.9  128.5   18.0   0.4854E+12   0.7988E+13   0.2019E+13
   2000  72000  100.0   40.0   40.0  191.1  14.25  127.0  128.5   18.0   0.4952E+12   0.8098E+13   0.2045E+13
   2000  75600  100.0   40.0   40.0  192.2  14.25  127.0  128.5   15.0   0.5041E+12   0.8261E+13   0.2080E+13
